lon,lat,pop
7.35312,1.59888,42
7.37718,1.6205,93
7.37951,1.67867,1
7.38006,1.64933,144
7.38039,1.65644,56
7.38498,1.67009,416
7.3888,1.63266,81
7.39853,1.63562,93
7.39932,1.54626,11
7.40904,1.66562,150
7.41986,1.638306667,3040
7.41116,1.67437,274
7.41139,1.64815,160
7.413835,1.620855,407
7.415852673,1.654103033,321
7.41766,1.6072,11
7.422407916,1.64642456,316
7.425446667,1.661293333,451
7.42872,1.6172,374
7.43006,1.627283333,361
7.43225,1.6749,56
7.43531,1.68364,196
7.43838,1.63171,3
7.44173,1.66849,20
7.44366,1.68502,75
7.45338,1.68151,20
7.45716,1.62457,232
6.465445,0.247435,405
6.47001,0.26751,1862
6.474485307,0.261712028,491
6.475876316,0.217656997,28
6.47633,0.23497,71
6.48221,0.26833,44
6.48265,0.25602,58
6.48616,0.28541,67
6.48901,0.29982,217
6.49416,0.30335,91
6.494855,0.127215,40
6.498302079,0.286349069,61
6.49925,0.22297,11
6.50046,0.31514,632
6.50205,0.29361,98
6.504662914,0.278204281,20
6.506962601,0.265061575,12
6.509126403,0.29547929,12
6.5096,0.32701,20
6.511288552,0.300430882,20
6.514495609,0.218425714,20
6.51521,0.10229,13
6.517285,0.331455,128
6.517564845,0.306332794,108
6.51963,-0.00609,76
6.520464678,0.300531521,74
6.523754963,0.070673838,20
6.524463678,0.084970655,20
6.52521,0.32781,20
6.52681,0.3139,20
6.53015,0.34009,147
6.530724406,0.028252364,20
6.53312,0.03382,795
6.53574,0.34578,20
6.537442638,0.048434674,550
6.54044,0.33734,448
6.549730907,0.356114075,9006
6.54521,0.32082,20
6.548539837,0.038607,43
6.55065,0.34871,27
6.55287,0.05228,20
6.562855,0.070985,220
6.562708096,0.313704936,9
6.56813,0.34298,65
6.572235667,0.351494974,2685
6.57085,0.32103,1
6.57165,0.36417,122
6.571916053,0.303792459,20
6.57618,0.09352,1
6.57687,0.36943,282
6.58382,0.35552,6
6.58865,0.1003,4
6.59706,0.37008,182
6.59732,0.38787,12
6.59876,0.31826,3
6.60008,0.30783,20
6.60133,0.33646,59
6.601715004,0.10705501,53
6.60322,0.35122,146
6.605352641,0.371110051,135
6.60591,0.39449,2
6.60915,0.32769,65
6.60919,0.28378,1
6.6116,0.08708,20
6.61228,0.37683,174
6.61244,0.30942,20
6.61328,0.09918,326
6.61362,0.10804,2
6.61523,0.36589,8
6.617,0.09285,503
6.61790447,0.2902647,128
6.617501185,0.352241413,286
6.61791,0.25605,29
6.61797,0.3417,72
6.618116591,0.361114743,337
6.62042,0.09988,201
6.62085,0.29962,39
6.62134,0.10529,2
6.62266,0.30895,120
6.62349,0.26222,5
6.623670585,0.342609543,97
6.623847153,0.377351906,40
6.62546,0.14221,20
6.625862869,0.279224968,118
6.62661,0.10631,166
6.627051356,0.320838512,168
6.62712,0.40657,6
6.62732,0.32717,3
6.62845,0.11913,23
6.62853,0.12662,20
6.62867,0.25759,3
6.62913,0.34756,231
6.631595,0.385515,912
6.635265,0.28758,219
6.63325,0.33262,14
6.63326,0.29892,286
6.63375,0.13091,52
6.634075226,0.24573366,18
6.634956475,0.40639449,584
6.636380922,0.380906547,1096
6.638809664,0.374665354,1742
6.640826456,0.336970565,283
6.63833,0.13494,2
6.63838,0.25186,55
6.639195,0.108135,254
6.63956,0.12191,38
6.641433333,0.297983333,936
6.64035,0.24158,7
6.642402579,0.266969088,96
6.641100586,0.235023166,337
6.64199,0.31168,9
6.644235,0.365535,1063
6.645230806,0.208430439,10
6.6459,0.32618,78
6.649240082,0.134337369,2284
6.646958875,0.282051494,45
6.649556667,0.303186667,306
6.64815,0.34107,2
6.650124119,0.351925064,9
6.65112,0.26109,19
6.651889332,0.254758504,129
6.660442065,0.337215543,1457
6.654505,0.29145,80
6.6529,0.27505,20
6.654293355,0.310824316,251
6.6549,0.3902,20
6.654975326,0.268224648,99
6.65527,0.37401,91
6.656055,0.40799,25
